card_name,part_img,set,images
Benalish Honor Guard,Benalish Honor Guard.jpg,Dominaria,data\Dominaria\imgs\Benalish Honor Guard.jpg
Blackblade Reforged,Blackblade Reforged.jpg,Dominaria,data\Dominaria\imgs\Blackblade Reforged.jpg
Blessed Light,Blessed Light.jpg,Dominaria,data\Dominaria\imgs\Blessed Light.jpg
Blink of an Eye,Blink of an Eye.jpg,Dominaria,data\Dominaria\imgs\Blink of an Eye.jpg
Bloodtallow Candle,Bloodtallow Candle.jpg,Dominaria,data\Dominaria\imgs\Bloodtallow Candle.jpg
Board the Weatherlight,Board the Weatherlight.jpg,Dominaria,data\Dominaria\imgs\Board the Weatherlight.jpg
Cabal Evangel,Cabal Evangel.jpg,Dominaria,data\Dominaria\imgs\Cabal Evangel.jpg
Cabal Paladin,Cabal Paladin.jpg,Dominaria,data\Dominaria\imgs\Cabal Paladin.jpg
Call the Cavalry,Call the Cavalry.jpg,Dominaria,data\Dominaria\imgs\Call the Cavalry.jpg
Chainer's Torment,Chainer's Torment.jpg,Dominaria,data\Dominaria\imgs\Chainer's Torment.jpg
Champion of the Flame,Champion of the Flame.jpg,Dominaria,data\Dominaria\imgs\Champion of the Flame.jpg
Chandra's Outburst,Chandra's Outburst.jpg,Dominaria,data\Dominaria\imgs\Chandra's Outburst.jpg
"Chandra, Bold Pyromancer","Chandra, Bold Pyromancer.jpg",Dominaria,"data\Dominaria\imgs\Chandra, Bold Pyromancer.jpg"
Charge,Charge.jpg,Dominaria,data\Dominaria\imgs\Charge.jpg
Cold-Water Snapper,Cold-Water Snapper.jpg,Dominaria,data\Dominaria\imgs\Cold-Water Snapper.jpg
Corrosive Ooze,Corrosive Ooze.jpg,Dominaria,data\Dominaria\imgs\Corrosive Ooze.jpg
Curator's Ward,Curator's Ward.jpg,Dominaria,data\Dominaria\imgs\Curator's Ward.jpg
D'Avenant Trapper,D'Avenant Trapper.jpg,Dominaria,data\Dominaria\imgs\D'Avenant Trapper.jpg
Damping Sphere,Damping Sphere.jpg,Dominaria,data\Dominaria\imgs\Damping Sphere.jpg
Dark Bargain,Dark Bargain.jpg,Dominaria,data\Dominaria\imgs\Dark Bargain.jpg
Dauntless Bodyguard,Dauntless Bodyguard.jpg,Dominaria,data\Dominaria\imgs\Dauntless Bodyguard.jpg
Deathbloom Thallid,Deathbloom Thallid.jpg,Dominaria,data\Dominaria\imgs\Deathbloom Thallid.jpg
Diligent Excavator,Diligent Excavator.jpg,Dominaria,data\Dominaria\imgs\Diligent Excavator.jpg
Divest,Divest.jpg,Dominaria,data\Dominaria\imgs\Divest.jpg
Elfhame Druid,Elfhame Druid.jpg,Dominaria,data\Dominaria\imgs\Elfhame Druid.jpg
Eviscerate,Eviscerate.jpg,Dominaria,data\Dominaria\imgs\Eviscerate.jpg
Fiery Intervention,Fiery Intervention.jpg,Dominaria,data\Dominaria\imgs\Fiery Intervention.jpg
Fight with Fire,Fight with Fire.jpg,Dominaria,data\Dominaria\imgs\Fight with Fire.jpg
Final Partin,Final Parting.jpg,Dominaria,data\Dominaria\imgs\Final Parting.jpg
Fire Elemental,Fire Elemental.jpg,Dominaria,data\Dominaria\imgs\Fire Elemental.jpg
Firefist Adept,Firefist Adept.jpg,Dominaria,data\Dominaria\imgs\Firefist Adept.jpg
Forest,Forest.jpg,Dominaria,data\Dominaria\imgs\Forest.jpg
Frenzied Rage,Frenzied Rage.jpg,Dominaria,data\Dominaria\imgs\Frenzied Rage.jpg
Fungal Plots,Fungal Plots.jpg,Dominaria,data\Dominaria\imgs\Fungal Plots.jpg
Gaea's Blessin,Gaea's Blessing.jpg,Dominaria,data\Dominaria\imgs\Gaea's Blessing.jpg
"Garna, the Bloodflame","Garna, the Bloodflame.jpg",Dominaria,"data\Dominaria\imgs\Garna, the Bloodflame.jpg"
Ghitu Chronicler,Ghitu Chronicler.jpg,Dominaria,data\Dominaria\imgs\Ghitu Chronicler.jpg
Ghitu Journeymage,Ghitu Journeymage.jpg,Dominaria,data\Dominaria\imgs\Ghitu Journeymage.jpg
Gideon's Reproach,Gideon's Reproach.jpg,Dominaria,data\Dominaria\imgs\Gideon's Reproach.jpg
Gilded Lotus,Gilded Lotus.jpg,Dominaria,data\Dominaria\imgs\Gilded Lotus.jpg
Goblin Barrage,Goblin Barrage.jpg,Dominaria,data\Dominaria\imgs\Goblin Barrage.jpg
Grow from the Ashes,Grow from the Ashes.jpg,Dominaria,data\Dominaria\imgs\Grow from the Ashes.jpg
Guardians of Koilos,Guardians of Koilos.jpg,Dominaria,data\Dominaria\imgs\Guardians of Koilos.jpg
Homarid Explorer,Homarid Explorer.jpg,Dominaria,data\Dominaria\imgs\Homarid Explorer.jpg
Howling Golem,Howling Golem.jpg,Dominaria,data\Dominaria\imgs\Howling Golem.jpg
In Bolas's Clutches,In Bolas's Clutches.jpg,Dominaria,data\Dominaria\imgs\In Bolas's Clutches.jpg
Invoke the Divine,Invoke the Divine.jpg,Dominaria,data\Dominaria\imgs\Invoke the Divine.jpg
Island,Island.jpg,Dominaria,data\Dominaria\imgs\Island.jpg
Jaya Ballard,Jaya Ballard.jpg,Dominaria,data\Dominaria\imgs\Jaya Ballard.jpg
Jhoira's Familiar,Jhoira's Familiar.jpg,Dominaria,data\Dominaria\imgs\Jhoira's Familiar.jpg
Jousting Lance,Jousting Lance.jpg,Dominaria,data\Dominaria\imgs\Jousting Lance.jpg
Karplusan Hound,Karplusan Hound.jpg,Dominaria,data\Dominaria\imgs\Karplusan Hound.jpg
Keldon Overseer,Keldon Overseer.jpg,Dominaria,data\Dominaria\imgs\Keldon Overseer.jpg
Keldon Raider,Keldon Raider.jpg,Dominaria,data\Dominaria\imgs\Keldon Raider.jpg
Keldon Warcaller,Keldon Warcaller.jpg,Dominaria,data\Dominaria\imgs\Keldon Warcaller.jpg
Knight of Grace,Knight of Grace.jpg,Dominaria,data\Dominaria\imgs\Knight of Grace.jpg
Knight of Malice,Knight of Malice.jpg,Dominaria,data\Dominaria\imgs\Knight of Malice.jpg
Knight of New Benalia,Knight of New Benalia.jpg,Dominaria,data\Dominaria\imgs\Knight of New Benalia.jpg
Lingering Phantom,Lingering Phantom.jpg,Dominaria,data\Dominaria\imgs\Lingering Phantom.jpg
Llanowar Envoy,Llanowar Envoy.jpg,Dominaria,data\Dominaria\imgs\Llanowar Envoy.jpg
Llanowar Scout,Llanowar Scout.jpg,Dominaria,data\Dominaria\imgs\Llanowar Scout.jpg
Mammoth Spider,Mammoth Spider.jpg,Dominaria,data\Dominaria\imgs\Mammoth Spider.jpg
Memorial to Folly,Memorial to Folly.jpg,Dominaria,data\Dominaria\imgs\Memorial to Folly.jpg
Memorial to Genius,Memorial to Genius.jpg,Dominaria,data\Dominaria\imgs\Memorial to Genius.jpg
Memorial to Glory,Memorial to Glory.jpg,Dominaria,data\Dominaria\imgs\Memorial to Glory.jpg
Memorial to Unity,Memorial to Unity.jpg,Dominaria,data\Dominaria\imgs\Memorial to Unity.jpg
Memorial to War,Memorial to War.jpg,Dominaria,data\Dominaria\imgs\Memorial to War.jpg
Merfolk Trickster,Merfolk Trickster.jpg,Dominaria,data\Dominaria\imgs\Merfolk Trickster.jpg
Mesa Unicorn,Mesa Unicorn.jpg,Dominaria,data\Dominaria\imgs\Mesa Unicorn.jpg
Mountain,Mountain.jpg,Dominaria,data\Dominaria\imgs\Mountain.jpg
"Multani, Yavimaya's Avatar","Multani, Yavimaya's Avatar.jpg",Dominaria,"data\Dominaria\imgs\Multani, Yavimaya's Avatar.jpg"
Navigator's Compass,Navigator's Compass.jpg,Dominaria,data\Dominaria\imgs\Navigator's Compass.jpg
"Niambi, Faithful Healer","Niambi, Faithful Healer.jpg",Dominaria,"data\Dominaria\imgs\Niambi, Faithful Healer.jpg"
On Serra's Wings,On Serra's Wings.jpg,Dominaria,data\Dominaria\imgs\On Serra's Wings.jpg
Opt,Opt.jpg,Dominaria,data\Dominaria\imgs\Opt.jpg
Orcish Vandal,Orcish Vandal.jpg,Dominaria,data\Dominaria\imgs\Orcish Vandal.jpg
Pardic Wanderer,Pardic Wanderer.jpg,Dominaria,data\Dominaria\imgs\Pardic Wanderer.jpg
Plains,Plains.jpg,Dominaria,data\Dominaria\imgs\Plains.jpg
Powerstone Shard,Powerstone Shard.jpg,Dominaria,data\Dominaria\imgs\Powerstone Shard.jpg
Primordial Wurm,Primordial Wurm.jpg,Dominaria,data\Dominaria\imgs\Primordial Wurm.jpg
Pyromantic Pilgrim,Pyromantic Pilgrim.jpg,Dominaria,data\Dominaria\imgs\Pyromantic Pilgrim.jpg
Radiating Lightnin,Radiating Lightning.jpg,Dominaria,data\Dominaria\imgs\Radiating Lightning.jpg
Rat Colony,Rat Colony.jpg,Dominaria,data\Dominaria\imgs\Rat Colony.jpg
Relic Runner,Relic Runner.jpg,Dominaria,data\Dominaria\imgs\Relic Runner.jpg
Rescue,Rescue.jpg,Dominaria,data\Dominaria\imgs\Rescue.jpg
Sanctum Spirit,Sanctum Spirit.jpg,Dominaria,data\Dominaria\imgs\Sanctum Spirit.jpg
Seal Away,Seal Away.jpg,Dominaria,data\Dominaria\imgs\Seal Away.jpg
Sentinel of the Pearl Trident,Sentinel of the Pearl Trident.jpg,Dominaria,data\Dominaria\imgs\Sentinel of the Pearl Trident.jpg
Sergeant-at-Arms,Sergeant-at-Arms.jpg,Dominaria,data\Dominaria\imgs\Sergeant-at-Arms.jpg
Serra Angel,Serra Angel.jpg,Dominaria,data\Dominaria\imgs\Serra Angel.jpg
Settle the Score,Settle the Score.jpg,Dominaria,data\Dominaria\imgs\Settle the Score.jpg
Shield of the Realm,Shield of the Realm.jpg,Dominaria,data\Dominaria\imgs\Shield of the Realm.jpg
Shivan Fire,Shivan Fire.jpg,Dominaria,data\Dominaria\imgs\Shivan Fire.jpg
Skittering Surveyor,Skittering Surveyor.jpg,Dominaria,data\Dominaria\imgs\Skittering Surveyor.jpg
Song of Freyalise,Song of Freyalise.jpg,Dominaria,data\Dominaria\imgs\Song of Freyalise.jpg
Sorcerer's Wand,Sorcerer's Wand.jpg,Dominaria,data\Dominaria\imgs\Sorcerer's Wand.jpg
Soul Salvage,Soul Salvage.jpg,Dominaria,data\Dominaria\imgs\Soul Salvage.jpg
Sparring Construct,Sparring Construct.jpg,Dominaria,data\Dominaria\imgs\Sparring Construct.jpg
Spore Swarm,Spore Swarm.jpg,Dominaria,data\Dominaria\imgs\Spore Swarm.jpg
Sporecrown Thallid,Sporecrown Thallid.jpg,Dominaria,data\Dominaria\imgs\Sporecrown Thallid.jpg
Stronghold Confessor,Stronghold Confessor.jpg,Dominaria,data\Dominaria\imgs\Stronghold Confessor.jpg
Swam,Swamp.jpg,Dominaria,data\Dominaria\imgs\Swamp.jpg
Syncopate,Syncopate.jpg,Dominaria,data\Dominaria\imgs\Syncopate.jpg
Teferi's Sentinel,Teferi's Sentinel.jpg,Dominaria,data\Dominaria\imgs\Teferi's Sentinel.jpg
"Teferi, Timebender","Teferi, Timebender.jpg",Dominaria,"data\Dominaria\imgs\Teferi, Timebender.jpg"
Temporal Machinations,Temporal Machinations.jpg,Dominaria,data\Dominaria\imgs\Temporal Machinations.jpg
Thallid Soothsayer,Thallid Soothsayer.jpg,Dominaria,data\Dominaria\imgs\Thallid Soothsayer.jpg
The Mending of Dominaria,The Mending of Dominaria.jpg,Dominaria,data\Dominaria\imgs\The Mending of Dominaria.jpg
Thorn Elemental,Thorn Elemental.jpg,Dominaria,data\Dominaria\imgs\Thorn Elemental.jpg
Time of Ice,Time of Ice.jpg,Dominaria,data\Dominaria\imgs\Time of Ice.jpg
Tolarian Scholar,Tolarian Scholar.jpg,Dominaria,data\Dominaria\imgs\Tolarian Scholar.jpg
Tragic Poet,Tragic Poet.jpg,Dominaria,data\Dominaria\imgs\Tragic Poet.jpg
Triumph of Gerrard,Triumph of Gerrard.jpg,Dominaria,data\Dominaria\imgs\Triumph of Gerrard.jpg
Untamed Kavu,Untamed Kavu.jpg,Dominaria,data\Dominaria\imgs\Untamed Kavu.jpg
Unwind,Unwind.jpg,Dominaria,data\Dominaria\imgs\Unwind.jpg
Urza's Tome,Urza's Tome.jpg,Dominaria,data\Dominaria\imgs\Urza's Tome.jpg
Vicious Offerin,Vicious Offering.jpg,Dominaria,data\Dominaria\imgs\Vicious Offering.jpg
Vodalian Arcanist,Vodalian Arcanist.jpg,Dominaria,data\Dominaria\imgs\Vodalian Arcanist.jpg
Voltaic Servant,Voltaic Servant.jpg,Dominaria,data\Dominaria\imgs\Voltaic Servant.jpg
Warcry Phoenix,Warcry Phoenix.jpg,Dominaria,data\Dominaria\imgs\Warcry Phoenix.jpg
Warlord's Fury,Warlord's Fury.jpg,Dominaria,data\Dominaria\imgs\Warlord's Fury.jpg
Weatherlight,Weatherlight.jpg,Dominaria,data\Dominaria\imgs\Weatherlight.jpg
Weight of Memory,Weight of Memory.jpg,Dominaria,data\Dominaria\imgs\Weight of Memory.jpg
Wild Onslaught,Wild Onslaught.jpg,Dominaria,data\Dominaria\imgs\Wild Onslaught.jpg
Wizard's Lightnin,Wizard's Lightning.jpg,Dominaria,data\Dominaria\imgs\Wizard's Lightning.jpg
Wizard's Retort,Wizard's Retort.jpg,Dominaria,data\Dominaria\imgs\Wizard's Retort.jpg
Adanto Vanguard,Adanto Vanguard.jpg,Ixalan,data\Ixalan\imgs\Adanto Vanguard.jpg
Admiral Beckett Brass,Admiral Beckett Brass.jpg,Ixalan,data\Ixalan\imgs\Admiral Beckett Brass.jpg
Air Elemental,Air Elemental.jpg,Ixalan,data\Ixalan\imgs\Air Elemental.jpg
Ancient Brontodon,Ancient Brontodon.jpg,Ixalan,data\Ixalan\imgs\Ancient Brontodon.jpg
Angrath's Marauders,Angrath's Marauders.jpg,Ixalan,data\Ixalan\imgs\Angrath's Marauders.jpg
Anointed Deacon,Anointed Deacon.jpg,Ixalan,data\Ixalan\imgs\Anointed Deacon.jpg
Arcane Adaptation,Arcane Adaptation.jpg,Ixalan,data\Ixalan\imgs\Arcane Adaptation.jpg
Ashes of the Abhorrent,Ashes of the Abhorrent.jpg,Ixalan,data\Ixalan\imgs\Ashes of the Abhorrent.jpg
Atzocan Archer,Atzocan Archer.jpg,Ixalan,data\Ixalan\imgs\Atzocan Archer.jpg
Axis of Mortality,Axis of Mortality.jpg,Ixalan,data\Ixalan\imgs\Axis of Mortality.jpg
Belligerent Brontodon,Belligerent Brontodon.jpg,Ixalan,data\Ixalan\imgs\Belligerent Brontodon.jpg
Bellowing Aegisaur,Bellowing Aegisaur.jpg,Ixalan,data\Ixalan\imgs\Bellowing Aegisaur.jpg
Bishop of Rebirth,Bishop of Rebirth.jpg,Ixalan,data\Ixalan\imgs\Bishop of Rebirth.jpg
Bishop of the Bloodstained,Bishop of the Bloodstained.jpg,Ixalan,data\Ixalan\imgs\Bishop of the Bloodstained.jpg
Bishop's Soldier,Bishop's Soldier.jpg,Ixalan,data\Ixalan\imgs\Bishop's Soldier.jpg
Blight Keeper,Blight Keeper.jpg,Ixalan,data\Ixalan\imgs\Blight Keeper.jpg
Blinding Fo,Blinding Fog.jpg,Ixalan,data\Ixalan\imgs\Blinding Fog.jpg
Bloodcrazed Paladin,Bloodcrazed Paladin.jpg,Ixalan,data\Ixalan\imgs\Bloodcrazed Paladin.jpg
Blossom Dryad,Blossom Dryad.jpg,Ixalan,data\Ixalan\imgs\Blossom Dryad.jpg
Bonded Horncrest,Bonded Horncrest.jpg,Ixalan,data\Ixalan\imgs\Bonded Horncrest.jpg
Boneyard Parley,Boneyard Parley.jpg,Ixalan,data\Ixalan\imgs\Boneyard Parley.jpg
Brazen Buccaneers,Brazen Buccaneers.jpg,Ixalan,data\Ixalan\imgs\Brazen Buccaneers.jpg
Bright Reprisal,Bright Reprisal.jpg,Ixalan,data\Ixalan\imgs\Bright Reprisal.jpg
Burning Sun's Avatar,Burning Sun's Avatar.jpg,Ixalan,data\Ixalan\imgs\Burning Sun's Avatar.jpg
Call to the Feast,Call to the Feast.jpg,Ixalan,data\Ixalan\imgs\Call to the Feast.jpg
Cancel,Cancel.jpg,Ixalan,data\Ixalan\imgs\Cancel.jpg
Captain Lannery Storm,Captain Lannery Storm.jpg,Ixalan,data\Ixalan\imgs\Captain Lannery Storm.jpg
Captivating Crew,Captivating Crew.jpg,Ixalan,data\Ixalan\imgs\Captivating Crew.jpg
Carnage Tyrant,Carnage Tyrant.jpg,Ixalan,data\Ixalan\imgs\Carnage Tyrant.jpg
Castaway's Despair,Castaway's Despair.jpg,Ixalan,data\Ixalan\imgs\Castaway's Despair.jpg
Charging Monstrosaur,Charging Monstrosaur.jpg,Ixalan,data\Ixalan\imgs\Charging Monstrosaur.jpg
Chart a Course,Chart a Course.jpg,Ixalan,data\Ixalan\imgs\Chart a Course.jpg
Cobbled Wings,Cobbled Wings.jpg,Ixalan,data\Ixalan\imgs\Cobbled Wings.jpg
Colossal Dreadmaw,Colossal Dreadmaw.jpg,Ixalan,data\Ixalan\imgs\Colossal Dreadmaw.jpg
Commune with Dinosaurs,Commune with Dinosaurs.jpg,Ixalan,data\Ixalan\imgs\Commune with Dinosaurs.jpg
Contract Killin,Contract Killing.jpg,Ixalan,data\Ixalan\imgs\Contract Killing.jpg
Costly Plunder,Costly Plunder.jpg,Ixalan,data\Ixalan\imgs\Costly Plunder.jpg
Crash the Ramparts,Crash the Ramparts.jpg,Ixalan,data\Ixalan\imgs\Crash the Ramparts.jpg
Crushing Canopy,Crushing Canopy.jpg,Ixalan,data\Ixalan\imgs\Crushing Canopy.jpg
Daring Saboteur,Daring Saboteur.jpg,Ixalan,data\Ixalan\imgs\Daring Saboteur.jpg
Dark Nourishment,Dark Nourishment.jpg,Ixalan,data\Ixalan\imgs\Dark Nourishment.jpg
Deadeye Plunderers,Deadeye Plunderers.jpg,Ixalan,data\Ixalan\imgs\Deadeye Plunderers.jpg
Deadeye Quartermaster,Deadeye Quartermaster.jpg,Ixalan,data\Ixalan\imgs\Deadeye Quartermaster.jpg
Deadeye Tormentor,Deadeye Tormentor.jpg,Ixalan,data\Ixalan\imgs\Deadeye Tormentor.jpg
Deadeye Tracker,Deadeye Tracker.jpg,Ixalan,data\Ixalan\imgs\Deadeye Tracker.jpg
Deathgorge Scavenger,Deathgorge Scavenger.jpg,Ixalan,data\Ixalan\imgs\Deathgorge Scavenger.jpg
Deathless Ancient,Deathless Ancient.jpg,Ixalan,data\Ixalan\imgs\Deathless Ancient.jpg
Deeproot Champion,Deeproot Champion.jpg,Ixalan,data\Ixalan\imgs\Deeproot Champion.jpg
Deeproot Warrior,Deeproot Warrior.jpg,Ixalan,data\Ixalan\imgs\Deeproot Warrior.jpg
Deeproot Waters,Deeproot Waters.jpg,Ixalan,data\Ixalan\imgs\Deeproot Waters.jpg
Demolish,Demolish.jpg,Ixalan,data\Ixalan\imgs\Demolish.jpg
Demystify,Demystify.jpg,Ixalan,data\Ixalan\imgs\Demystify.jpg
Depths of Desire,Depths of Desire.jpg,Ixalan,data\Ixalan\imgs\Depths of Desire.jpg
Desperate Castaways,Desperate Castaways.jpg,Ixalan,data\Ixalan\imgs\Desperate Castaways.jpg
Dinosaur Stampede,Dinosaur Stampede.jpg,Ixalan,data\Ixalan\imgs\Dinosaur Stampede.jpg
Dire Fleet Captain,Dire Fleet Captain.jpg,Ixalan,data\Ixalan\imgs\Dire Fleet Captain.jpg
Dire Fleet Hoarder,Dire Fleet Hoarder.jpg,Ixalan,data\Ixalan\imgs\Dire Fleet Hoarder.jpg
Dire Fleet Interloper,Dire Fleet Interloper.jpg,Ixalan,data\Ixalan\imgs\Dire Fleet Interloper.jpg
Dire Fleet Ravager,Dire Fleet Ravager.jpg,Ixalan,data\Ixalan\imgs\Dire Fleet Ravager.jpg
Dive Down,Dive Down.jpg,Ixalan,data\Ixalan\imgs\Dive Down.jpg
Dragonskull Summit,Dragonskull Summit.jpg,Ixalan,data\Ixalan\imgs\Dragonskull Summit.jpg
Dreamcaller Siren,Dreamcaller Siren.jpg,Ixalan,data\Ixalan\imgs\Dreamcaller Siren.jpg
Drover of the Mighty,Drover of the Mighty.jpg,Ixalan,data\Ixalan\imgs\Drover of the Mighty.jpg
Drowned Catacomb,Drowned Catacomb.jpg,Ixalan,data\Ixalan\imgs\Drowned Catacomb.jpg
Dual Shot,Dual Shot.jpg,Ixalan,data\Ixalan\imgs\Dual Shot.jpg
Duress,Duress.jpg,Ixalan,data\Ixalan\imgs\Duress.jpg
Dusk Legion Dreadnought,Dusk Legion Dreadnought.jpg,Ixalan,data\Ixalan\imgs\Dusk Legion Dreadnought.jpg
Duskborne Skymarcher,Duskborne Skymarcher.jpg,Ixalan,data\Ixalan\imgs\Duskborne Skymarcher.jpg
Elaborate Firecannon,Elaborate Firecannon.jpg,Ixalan,data\Ixalan\imgs\Elaborate Firecannon.jpg
Emergent Growth,Emergent Growth.jpg,Ixalan,data\Ixalan\imgs\Emergent Growth.jpg
Emissary of Sunrise,Emissary of Sunrise.jpg,Ixalan,data\Ixalan\imgs\Emissary of Sunrise.jpg
Emperor's Vanguard,Emperor's Vanguard.jpg,Ixalan,data\Ixalan\imgs\Emperor's Vanguard.jpg
Encampment Keeper,Encampment Keeper.jpg,Ixalan,data\Ixalan\imgs\Encampment Keeper.jpg
Entrancing Melody,Entrancing Melody.jpg,Ixalan,data\Ixalan\imgs\Entrancing Melody.jpg
Fathom Fleet Captain,Fathom Fleet Captain.jpg,Ixalan,data\Ixalan\imgs\Fathom Fleet Captain.jpg
Fathom Fleet Cutthroat,Fathom Fleet Cutthroat.jpg,Ixalan,data\Ixalan\imgs\Fathom Fleet Cutthroat.jpg
Fathom Fleet Firebrand,Fathom Fleet Firebrand.jpg,Ixalan,data\Ixalan\imgs\Fathom Fleet Firebrand.jpg
Favorable Winds,Favorable Winds.jpg,Ixalan,data\Ixalan\imgs\Favorable Winds.jpg
Fell Flagshi,Fell Flagship.jpg,Ixalan,data\Ixalan\imgs\Fell Flagship.jpg
Field of Ruin,Field of Ruin.jpg,Ixalan,data\Ixalan\imgs\Field of Ruin.jpg
Fiery Cannonade,Fiery Cannonade.jpg,Ixalan,data\Ixalan\imgs\Fiery Cannonade.jpg
Fire Shrine Keeper,Fire Shrine Keeper.jpg,Ixalan,data\Ixalan\imgs\Fire Shrine Keeper.jpg
Firecannon Blast,Firecannon Blast.jpg,Ixalan,data\Ixalan\imgs\Firecannon Blast.jpg
Fleet Swallower,Fleet Swallower.jpg,Ixalan,data\Ixalan\imgs\Fleet Swallower.jpg
Forest,Forest.jpg,Ixalan,data\Ixalan\imgs\Forest.jpg
Frenzied Raptor,Frenzied Raptor.jpg,Ixalan,data\Ixalan\imgs\Frenzied Raptor.jpg
Gilded Sentinel,Gilded Sentinel.jpg,Ixalan,data\Ixalan\imgs\Gilded Sentinel.jpg
"Gishath, Sun's Avatar","Gishath, Sun's Avatar.jpg",Ixalan,"data\Ixalan\imgs\Gishath, Sun's Avatar.jpg"
Glacial Fortress,Glacial Fortress.jpg,Ixalan,data\Ixalan\imgs\Glacial Fortress.jpg
Glorifier of Dusk,Glorifier of Dusk.jpg,Ixalan,data\Ixalan\imgs\Glorifier of Dusk.jpg
Goring Ceratops,Goring Ceratops.jpg,Ixalan,data\Ixalan\imgs\Goring Ceratops.jpg
Grasping Current,Grasping Current.jpg,Ixalan,data\Ixalan\imgs\Grasping Current.jpg
Grazing Whiptail,Grazing Whiptail.jpg,Ixalan,data\Ixalan\imgs\Grazing Whiptail.jpg
Grim Captain's Call,Grim Captain's Call.jpg,Ixalan,data\Ixalan\imgs\Grim Captain's Call.jpg
Headstrong Brute,Headstrong Brute.jpg,Ixalan,data\Ixalan\imgs\Headstrong Brute.jpg
Headwater Sentries,Headwater Sentries.jpg,Ixalan,data\Ixalan\imgs\Headwater Sentries.jpg
Heartless Pillage,Heartless Pillage.jpg,Ixalan,data\Ixalan\imgs\Heartless Pillage.jpg
Herald of Secret Streams,Herald of Secret Streams.jpg,Ixalan,data\Ixalan\imgs\Herald of Secret Streams.jpg
Hierophant's Chalice,Hierophant's Chalice.jpg,Ixalan,data\Ixalan\imgs\Hierophant's Chalice.jpg
Hijack,Hijack.jpg,Ixalan,data\Ixalan\imgs\Hijack.jpg
Hostage Taker,Hostage Taker.jpg,Ixalan,data\Ixalan\imgs\Hostage Taker.jpg
Huatli's Snubhorn,Huatli's Snubhorn.jpg,Ixalan,data\Ixalan\imgs\Huatli's Snubhorn.jpg
Huatli's Spurrin,Huatli's Spurring.jpg,Ixalan,data\Ixalan\imgs\Huatli's Spurring.jpg
"Huatli, Dinosaur Knight","Huatli, Dinosaur Knight.jpg",Ixalan,"data\Ixalan\imgs\Huatli, Dinosaur Knight.jpg"
"Huatli, Warrior Poet","Huatli, Warrior Poet.jpg",Ixalan,"data\Ixalan\imgs\Huatli, Warrior Poet.jpg"
Imperial Aerosaur,Imperial Aerosaur.jpg,Ixalan,data\Ixalan\imgs\Imperial Aerosaur.jpg
Imperial Lancer,Imperial Lancer.jpg,Ixalan,data\Ixalan\imgs\Imperial Lancer.jpg
Inspiring Cleric,Inspiring Cleric.jpg,Ixalan,data\Ixalan\imgs\Inspiring Cleric.jpg
Island,Island.jpg,Ixalan,data\Ixalan\imgs\Island.jpg
Ixalan's Bindin,Ixalan's Binding.jpg,Ixalan,data\Ixalan\imgs\Ixalan's Binding.jpg
Ixalli's Diviner,Ixalli's Diviner.jpg,Ixalan,data\Ixalan\imgs\Ixalli's Diviner.jpg
Ixalli's Keeper,Ixalli's Keeper.jpg,Ixalan,data\Ixalan\imgs\Ixalli's Keeper.jpg
Jace's Sentinel,Jace's Sentinel.jpg,Ixalan,data\Ixalan\imgs\Jace's Sentinel.jpg
"Jace, Cunning Castaway","Jace, Cunning Castaway.jpg",Ixalan,"data\Ixalan\imgs\Jace, Cunning Castaway.jpg"
"Jace, Ingenious Mind-Mage","Jace, Ingenious Mind-Mage.jpg",Ixalan,"data\Ixalan\imgs\Jace, Ingenious Mind-Mage.jpg"
Jade Guardian,Jade Guardian.jpg,Ixalan,data\Ixalan\imgs\Jade Guardian.jpg
Jungle Delver,Jungle Delver.jpg,Ixalan,data\Ixalan\imgs\Jungle Delver.jpg
Kinjalli's Caller,Kinjalli's Caller.jpg,Ixalan,data\Ixalan\imgs\Kinjalli's Caller.jpg
Kinjalli's Sunwin,Kinjalli's Sunwing.jpg,Ixalan,data\Ixalan\imgs\Kinjalli's Sunwing.jpg
Kitesail Freebooter,Kitesail Freebooter.jpg,Ixalan,data\Ixalan\imgs\Kitesail Freebooter.jpg
"Kopala, Warden of Waves","Kopala, Warden of Waves.jpg",Ixalan,"data\Ixalan\imgs\Kopala, Warden of Waves.jpg"
Kumena's Speaker,Kumena's Speaker.jpg,Ixalan,data\Ixalan\imgs\Kumena's Speaker.jpg
Legion Conquistador,Legion Conquistador.jpg,Ixalan,data\Ixalan\imgs\Legion Conquistador.jpg
Legion's Judgment,Legion's Judgment.jpg,Ixalan,data\Ixalan\imgs\Legion's Judgment.jpg
Lightning Strike,Lightning Strike.jpg,Ixalan,data\Ixalan\imgs\Lightning Strike.jpg
Lightning-Rig Crew,Lightning-Rig Crew.jpg,Ixalan,data\Ixalan\imgs\Lightning-Rig Crew.jpg
Lookout's Dispersal,Lookout's Dispersal.jpg,Ixalan,data\Ixalan\imgs\Lookout's Dispersal.jpg
Looming Altisaur,Looming Altisaur.jpg,Ixalan,data\Ixalan\imgs\Looming Altisaur.jpg
Lurking Chupacabra,Lurking Chupacabra.jpg,Ixalan,data\Ixalan\imgs\Lurking Chupacabra.jpg
Makeshift Munitions,Makeshift Munitions.jpg,Ixalan,data\Ixalan\imgs\Makeshift Munitions.jpg
